Position,Organization Name,Type,Contact,Membership
432,Triathlon at SMU,Student Organization,Contact: Jadon Swearingen,Lifetime membership
433,Turning Point USA,"Student Organization - Professional, Political",,Lifetime membership
434,UKirk,Student Organization - Religious Life Organization,,Lifetime membership
435,Ultimate Frisbee Club,Student Organization,,Lifetime membership
436,Undergraduate Real Estate Club,Student Organization - Cox School of Business,"Contact: Olivia Morales, Tosha Riddle-May",Lifetime membership
437,United States Military Veterans of SMU,Student Organization,,Lifetime membership
438,Unity Coalition,Student Organization,,Lifetime membership
439,University Advising,Department,,Lifetime membership
440,University Conduct Board,Department,Contact: Email group officers,Lifetime membership
441,University Honors Program,Department,,Lifetime membership
442,Upper Division Housing,Residence Life,,Lifetime membership
443,Veterans in Business,Graduate Student Organization - Cox School of Business,,(12 Months)
444,Veterans Law Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
445,Vietnamese Student Association,Student Organization,Contact: Jackie Nguyen,Lifetime membership
446,Virginia-Snider Commons,Residence Life,,Lifetime membership
447,Ware Commons,Residence Life,,Lifetime membership
448,Water Ski Team at SMU,Student Organization,"Contact: Connor Ferguson, Grace Higgins, Markus Mortenson, Email group officers",Lifetime membership
449,Watermark College,Student Organization,"Contact: Donovan McManus, Email group officers",Lifetime membership
450,Wellbeing Education Student Team,"Department - Special Interest, Service",,Lifetime membership
451,Wellness Committee,Graduate Student Organization - Dedman School of Law,,Lifetime membership
452,Wesley House,Student Organization - Religious Life Organization,"Contact: Haley Sloan, Email group officers",Lifetime membership
453,Women and LGBT Center,Department,"Contact: Nathan Faust, Email group officers",Lifetime membership
454,Women in Law,Graduate Student Organization - Dedman School of Law,,Lifetime membership
455,Women in Science & Engineering,Student Organization,"Contact: Andrea Reyes, Catherine Scott, Ava Adamson",Lifetime membership
456,Women's Club Basketball,Student Organization - Special Interest,,Lifetime membership
457,Women's Club Soccer,Student Organization,"Contact: Melanie Gresser, Marlo Von der Ahe",Lifetime membership
458,Women's Club Volleyball,Student Organization,"Contact: Hayley Payne, Julia Young",Lifetime membership
459,Women's Lacrosse,Student Organization,,Lifetime membership
460,World Languages & Literatures,Department,,Lifetime membership
461,Wrestling Club,Student Organization,,Lifetime membership
462,Young Americans for Freedom at SMU,Student Organization,,Lifetime membership
463,Young Americans for Liberty,Student Organization - Political,Contact: Michael Harreld,Lifetime membership
464,Young Conservatives of Texas,Student Organization - Political,"Contact: Brett Osborn, Email group officers",Lifetime membership
465,Young Life,Student Organization,,Lifetime membership
